x,velocity_cm_s
-4.818376068376071686e+00,1.174181145203750987e+01
-4.814814814814817545e+00,1.160592937167659500e+01
-4.811253561253564293e+00,1.144694733765435046e+01
-4.807692307692310152e+00,1.127845355800683080e+01
-4.804131054131056899e+00,1.111403624077013319e+01
-4.800569800569803647e+00,1.096728359398035479e+01
-4.797008547008550394e+00,1.085178382567356437e+01
-4.793447293447296254e+00,1.078112514388588750e+01
-4.789886039886043001e+00,1.070611823552667374e+01
-4.786324786324788860e+00,1.063491602541755299e+01
-4.782763532763535608e+00,1.059143375970208467e+01
-4.779202279202282355e+00,1.059686904291650933e+01
-4.775641025641028214e+00,1.065122187506085538e+01
-4.772079772079774962e+00,1.071291233954471522e+01
-4.768518518518521709e+00,1.082161800383343575e+01
-4.764957264957267569e+00,1.093575895133660936e+01
-4.761396011396014316e+00,1.103495287000006897e+01
-4.757834757834761064e+00,1.109881744776969015e+01
-4.754273504273506923e+00,1.114855028918179869e+01
-4.750712250712253670e+00,1.114528911925314958e+01
-4.747150997151000418e+00,1.111294918412724542e+01
-4.743589743589746277e+00,1.101538585042810325e+01
-4.740028490028493025e+00,1.085803440137017617e+01
-4.736467236467239772e+00,1.068791003675831064e+01
-4.732905982905985631e+00,1.053354799346833204e+01
-4.729344729344732379e+00,1.040581883792907547e+01
-4.725783475783478238e+00,1.027673086158621629e+01
-4.722222222222224985e+00,1.015987227247582325e+01
-4.718660968660971733e+00,1.006883127863402194e+01
-4.715099715099718480e+00,9.954418566970133497e+00
-4.711538461538464340e+00,9.887564583432549625e+00
-4.707977207977211087e+00,9.813644731716237857e+00
-4.704415954415956946e+00,9.776956570018768389e+00
-4.700854700854703694e+00,9.777500098340212276e+00
-4.697293447293450441e+00,9.812557675073350083e+00
-4.693732193732196301e+00,9.855496412467402934e+00
-4.690170940170943048e+00,9.937025660683943329e+00
-4.686609686609689795e+00,1.006393952374099854e+01
-4.683048433048435655e+00,1.024031446404947587e+01
-4.679487179487182402e+00,1.027673086158618787e+01
-4.675925925925929150e+00,1.039522003566092678e+01
-4.672364672364675009e+00,1.071997820772345733e+01
-4.668803418803421756e+00,1.111784093902021198e+01
-4.665242165242168504e+00,1.143254383713608036e+01
-4.661680911680914363e+00,1.217337293926377129e+01
-4.658119658119661111e+00,1.334060000956394276e+01
-4.654558404558407858e+00,1.484590169580209817e+01
-4.650997150997153717e+00,1.634033281561137585e+01
-4.647435897435900465e+00,1.808152579335605026e+01
-4.643874643874646324e+00,2.018036040661064590e+01
-4.640313390313393072e+00,2.227729267074015240e+01
-4.636752136752139819e+00,2.462288914193015898e+01
-4.633190883190886566e+00,2.703751370994352499e+01
-4.629629629629632426e+00,2.949045702461862106e+01
-4.626068376068379173e+00,3.217195399846077919e+01
-4.622507122507125032e+00,3.459663384042082157e+01
-4.618945868945871780e+00,3.698652786980848362e+01
-4.615384615384618527e+00,3.935468076633837597e+01
-4.611823361823364387e+00,4.199595664439372911e+01
-4.608262108262111134e+00,4.451385159348134835e+01
-4.604700854700857882e+00,4.668850840757733067e+01
-4.601139601139603741e+00,4.827533934203201227e+01
-4.597578347578350488e+00,4.990945724045229070e+01
-4.594017094017097236e+00,5.146639411722757274e+01
-4.590455840455843095e+00,5.244284274670106782e+01
-4.586894586894589843e+00,5.374513660488000966e+01
-4.583333333333336590e+00,5.514662438172241821e+01
-4.579772079772082449e+00,5.664540372810323277e+01
-4.576210826210829197e+00,5.813113839476939404e+01
-4.572649572649575944e+00,5.944321576273434005e+01
